agegroup	male	ethnicity	var	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pc8	pc9	pc10
1	0	1	"other_neuro"	.0008545	.0084295	.0034507	.0046339	.0036014	.05	.000817	.0070755	.011041	.0038085
1	0	1	"ra_sle_psoriasis"	.0170891	.0275067	.0503796	.044949	.0468187	.3357143	.0318627	.0377358	.0299685	.0446137
1	0	1	"reduced_kidney_function_cat_2"	.0008545	.0004437	.0006901	.0004634	.0006002	0	.000817	.0023585	.0031546	.0016322
1	0	1	"reduced_kidney_function_cat_3"	0	0	.0013803	.0002317	.0006002	.0071429	0	.0003369	.0015773	0
1	0	1	"smoke_nomiss_2"	.1979493	0	0	.2717794	0	0	.3529412	.379717	.2507886	.9499456
1	0	1	"smoke_nomiss_3"	0	0	1	.239342	1	0	0	0	.0157729	0
1	0	1	"spleen"	0	.0004437	.0013803	.0006951	0	0	0	.0003369	0	.0016322
1	0	1	"stroke_dementia"	.0008545	.0022183	.0013803	.0006951	.0006002	.0214286	.002451	.0020216	0	.0005441
1	1	1	"N"	.1614	.1478	.1246	.0133	.1316	.05245	.08985	.19735	.04175	.0399
1	1	1	"asthmacat_2"	0	0	0	.2030075	.1971885	.0476644	1	.1991386	.0419162	.9924812
1	1	1	"asthmacat_3"	.0030979	.0084574	.0068218	.0601504	.0091185	.0142993	0	.0076007	.0347305	0
1	1	1	"cancer_exhaem_cat_2"	.0003098	.0003383	.0004013	0	.0003799	.0009533	.0005565	.0002534	.0023952	.0025063
1	1	1	"cancer_exhaem_cat_3"	.0009294	.0003383	.0012039	0	.0011398	0	.001113	.0002534	.0011976	0
1	1	1	"cancer_exhaem_cat_4"	.0012392	.0023681	.0012039	.0037594	.0007599	.0009533	.0016694	.0002534	.0023952	.0050125
1	1	1	"cancer_haem_cat_2"	0	.0003383	0	0	.0003799	0	.0005565	0	0	0
1	1	1	"cancer_haem_cat_3"	.0003098	.0003383	.0008026	0	.0007599	0	.001113	0	0	0
1	1	1	"cancer_haem_cat_4"	0	.0013532	0	0	.0007599	.0019066	.001113	.0005067	.0011976	.0050125
1	1	1	"chronic_cardiac_disease"	.0024783	.009134	.0060193	.0451128	.0079787	.0142993	.0116861	.0076007	.0107784	.0150376
1	1	1	"chronic_liver_disease"	.0009294	.0006766	.0008026	.0037594	.0037994	.0057197	.001113	.0045604	.005988	.0012531
1	1	1	"chronic_respiratory_disease"	.0021685	.0030447	.0012039	0	.0041793	.006673	.0066778	.0055739	.0131737	0
1	1	1	"diabcat_2"	.0021685	.0037212	.0032103	.0300752	.0026596	.006673	.0044519	.0027869	.0035928	.0050125
1	1	1	"diabcat_3"	.0018587	.0054127	.005618	.0451128	.006079	.0114395	.0055648	.0076007	.0071856	.0137845
1	1	1	"diabcat_4"	.0021685	.0047361	.0024077	.0037594	.0026596	.0076263	.0055648	.0050671	.0083832	.0137845
1	1	1	"htdiag_or_highbp"	0	.0788227	.1111557	.4135338	.0113982	.9980934	.1135225	.0836078	.1532934	.131579
1	1	1	"imd_2"	0	1	0	.0225564	0	.0781697	0	0	.0718563	.9924812
1	1	1	"imd_3"	.5715613	0	0	.2368421	.3632219	.3546234	.344463	0	.1269461	0
1	1	1	"imd_4"	0	0	.9963884	.0075188	.455927	.1410867	.3344463	0	0	0
1	1	1	"imd_5"	0	0	0	.424812	0	.207817	0	1	.1077844	0
1	1	1	"obese4cat_2"	.0229244	.0446549	.0630016	0	.0604103	.1696854	.0745687	.0501647	.4131736	.0814536
1	1	1	"obese4cat_3"	0	.0145467	.024077	.9210526	.0159574	.0371783	.0289371	.0043071	0	.0313283
1	1	1	"obese4cat_4"	.0037175	.0077808	.0168539	0	.0094985	.0200191	.0127991	.0152014	.0131737	.0062657
1	1	1	"organ_transplant"	.0006196	.0010149	.0008026	0	.0003799	.006673	.0005565	0	.0011976	0
1	1	1	"other_immunosuppression"	.0027881	.0050744	.0064205	.0075188	.0075988	.0085796	.0077908	.0065873	.0179641	.0112782
1	1	1	"other_neuro"	.0040273	.0037212	.0044141	0	.0041793	.0057197	.0055648	.0038004	.0047904	.0025063
1	1	1	"ra_sle_psoriasis"	.0074349	.0250338	.0236758	.0300752	.0319149	.0324118	.0255982	.0230555	.097006	.0338346
1	1	1	"reduced_kidney_function_cat_2"	0	.0010149	.0032103	0	.0003799	.0038132	.0005565	.0005067	.0023952	.0012531
1	1	1	"reduced_kidney_function_cat_3"	.0006196	0	0	0	0	0	.0005565	.0002534	0	0
1	1	1	"smoke_nomiss_2"	.1177199	.1688092	.2628411	.3834586	0	.0734032	.2721202	.1596149	.8766467	.2130326
1	1	1	"smoke_nomiss_3"	0	.1958728	0	.0263158	1	.5795996	0	.3585001	0	.2005012
1	1	1	"spleen"	0	.0003383	.0012039	0	.0007599	.0009533	0	.0005067	0	0
1	1	1	"stroke_dementia"	.0006196	0	.002809	.0037594	0	.0019066	.0016694	.0012668	.0011976	.0012531
1	0	2	"N"	.1983	.0783	.02635	.05835	.19445	.04775	.08915	.1581	.01395	.1353
1	0	2	"asthmacat_2"	0	.2286079	.9487666	.9871466	.1581383	.2230366	0	.1647691	0	0
1	0	2	"asthmacat_3"	.0073122	.0146871	0	0	.0141425	.0167539	.0263601	.0098039	.0430108	.0118256
1	0	2	"cancer_exhaem_cat_2"	.0005043	.0006386	.0018975	0	.0007714	.0010471	0	.0006325	0	0
1	0	2	"cancer_exhaem_cat_3"	.0012607	.00447	0	.0008569	.0020571	.0010471	.0005609	.001265	.0143369	.0018477
1	0	2	"cancer_exhaem_cat_4"	.0015129	.0012771	0	.0008569	.0017999	.0010471	.0011217	.0018975	.0107527	.0014782
1	0	2	"cancer_haem_cat_2"	0	0	0	0	0	.0010471	0	0	0	0
1	0	2	"cancer_haem_cat_3"	0	0	0	0	.0005143	.0010471	0	.0006325	0	.0011086
1	0	2	"cancer_haem_cat_4"	.0002521	0	0	0	.0005143	.0020942	.0005609	.0009488	.0071685	.0018477
1	0	2	"chronic_cardiac_disease"	.0040343	.0038314	.0018975	.0094259	.0030856	.0062827	.0061694	.0044276	.0286738	.0036955
1	0	2	"chronic_liver_disease"	.0040343	.0019157	.0018975	.0042845	.0025714	.0041885	.0011217	.001265	.0035842	.0014782
1	0	2	"chronic_respiratory_disease"	.0015129	.0031928	.0075901	.0051414	.0035999	0	.003926	.001265	.0071685	.0022173
1	0	2	"diabcat_2"	.0075643	.0083014	.0170778	.0111397	.0097711	.0094241	.0089736	.0094877	.0035842	.0055432
1	0	2	"diabcat_3"	.0007564	.0063857	.0056926	.0059983	.0053998	.0041885	.0123388	.0037951	.0071685	.0029564
1	0	2	"diabcat_4"	.0045386	.0051086	.0132827	.0094259	.0061713	.0052356	.0056085	.0044276	.0322581	.004065
1	0	2	"htdiag_or_highbp"	.0436208	.0849298	.0721063	.083976	.0658267	.0858639	.0695457	.055661	.2580645	.0617147
1	0	2	"imd_2"	0	0	.9487666	0	0	0	0	0	0	1
1	0	2	"imd_3"	0	0	0	.1028278	0	0	.2781828	1	0	0
1	0	2	"imd_4"	0	0	0	0	1	1	0	0	0	0
1	0	2	"imd_5"	.7163389	.6692209	0	.6126821	0	0	.6012339	0	0	0
1	0	2	"obese4cat_2"	.0769037	.1404853	.1043643	.1328192	.0995114	.1434555	.1138531	.0986717	.3405018	.0742794
1	0	2	"obese4cat_3"	.0350479	.0498084	.0550285	.0608398	.039856	.0565445	.0622546	.042062	.1111111	.0321508
1	0	2	"obese4cat_4"	.0199193	.0440613	.0360531	.0659811	.0236565	.0418848	.0325294	.0224541	.0071685	.0184775
1	0	2	"organ_transplant"	.0002521	0	0	.0008569	0	.0010471	0	.0003163	0	0
1	0	2	"other_immunosuppression"	.0279879	.0555556	.0512334	.041988	.035999	.0596859	.0364554	.0401645	.265233	.0484109
1	0	2	"other_neuro"	.0030257	.00447	.0151803	.0008569	.0035999	.0031414	.003926	.0044276	.0071685	.0033259
1	0	2	"ra_sle_psoriasis"	.0121029	.0421456	.0777989	.0325621	.0146567	.0303665	.0325294	.0196078	.0179211	.0192166
1	0	2	"reduced_kidney_function_cat_2"	.0007564	.0019157	.0018975	.0008569	.0017999	.0031414	0	.0006325	0	.0011086
1	0	2	"reduced_kidney_function_cat_3"	.0005043	0	0	0	.0002571	.0010471	0	0	0	.0003695
1	0	2	"smoke_nomiss_2"	0	1	.2466793	0	0	1	0	.2501581	0	.1821877
1	0	2	"smoke_nomiss_3"	0	0	.142315	.3847472	.2327076	0	.9994391	0	0	.1289726
1	0	2	"spleen"	.0012607	0	.0018975	0	.0012857	.0020942	.0005609	.0022138	.0107527	.0025868
1	0	2	"stroke_dementia"	.0002521	.0012771	.0018975	0	.0012857	0	.0011217	.0009488	.0107527	.0011086
1	1	2	"N"	.13345	.04885	.02995	.16715	.11525	.1836	.0676	.04835	.06665	.13915
1	1	2	"asthmacat_2"	0	.1177073	.3188648	0	.1409978	.1544118	.1863905	.1489142	.9947487	.1778656
1	1	2	"asthmacat_3"	.0056201	.0194473	.0116861	.0116662	.0047722	.0081699	.0059172	.0103413	0	.0057492
1	1	2	"cancer_exhaem_cat_2"	0	.0010235	0	0	0	.0005447	0	0	0	0
1	1	2	"cancer_exhaem_cat_3"	0	.0010235	0	.0002991	.0004338	0	0	0	0	.0007186
1	1	2	"cancer_exhaem_cat_4"	.0003747	.0020471	.0050083	.0008974	.0013015	.0013617	.0014793	0	0	.0003593
1	1	2	"cancer_haem_cat_2"	0	0	0	.0002991	0	0	0	0	0	0
1	1	2	"cancer_haem_cat_3"	0	0	0	0	.0008677	.0002723	.0014793	0	.0007502	.0007186
1	1	2	"cancer_haem_cat_4"	.001124	.0010235	.0033389	.0005983	.0030369	.0005447	.0014793	.0031024	.0015004	.0017966
1	1	2	"chronic_cardiac_disease"	.0037467	.0061412	.0166945	.0062818	.0047722	.004085	.0059172	.0020683	.0082521	.0075458
1	1	2	"chronic_liver_disease"	.0018734	0	.0016694	.0029913	.0013015	.0029956	.0022189	0	.0030008	.0014373
1	1	2	"chronic_respiratory_disease"	.0014987	.0071648	.0033389	.0035896	.0017354	.0021786	.0044379	.0020683	.0060015	.0032339
1	1	2	"diabcat_2"	.0029974	.0051177	.0116861	.0038887	.002603	.0059913	.0051775	.0041365	.0045011	.0071865
1	1	2	"diabcat_3"	.003372	.0061412	.0066778	.0053844	.0030369	.0035403	.0066568	.0020683	.0127532	.0021559
1	1	2	"diabcat_4"	.0029974	.0040942	.0016694	.0047861	.0034707	.0073529	.0051775	.0051706	.0067517	.0035932
1	1	2	"htdiag_or_highbp"	.0629449	.1146366	.1419032	.0945259	.0746204	.0991285	.0983728	.1809721	.1252813	.080848
1	1	2	"imd_2"	0	.6079836	.2203673	0	.9982647	0	0	0	0	0
1	1	2	"imd_3"	0	0	0	0	0	0	0	.9193382	0	1
1	1	2	"imd_4"	0	0	0	0	0	.9997277	1	0	0	0
1	1	2	"imd_5"	.5927314	0	0	.9964104	0	0	0	0	.6939235	0
1	1	2	"obese4cat_2"	.0355939	.0542477	.1853088	.0652109	.0507592	.0599129	.0710059	.0568769	.0682671	.0596479
1	1	2	"obese4cat_3"	.0161109	.0163767	.0467446	.0164523	.0186551	.0212418	.0207101	.0279214	.0277569	.014373
1	1	2	"obese4cat_4"	.0044961	.0092119	.0133556	.0092731	.0078091	.0127996	.0066568	.0103413	.0187547	.0064678
1	1	2	"organ_transplant"	.0003747	0	0	.0005983	.0017354	0	0	0	.0007502	0
1	1	2	"other_immunosuppression"	.0089921	.0102354	.0100167	.0188453	.0091106	.0092593	.0147929	.016546	.0105026	.012217
1	1	2	"other_neuro"	.0014987	.0010235	.0033389	.0032905	.0056399	.0035403	.0022189	.0020683	.0052513	.0017966
1	1	2	"ra_sle_psoriasis"	.0112402	.0450358	.0267112	.0143584	.013449	.0157952	.0170118	.0227508	.0225056	.0147323
1	1	2	"reduced_kidney_function_cat_2"	.0014987	.0020471	.0066778	.0014957	.0004338	.0005447	.0014793	0	0	.001078
1	1	2	"reduced_kidney_function_cat_3"	0	.0010235	0	0	.0004338	0	0	.0010341	0	0
1	1	2	"smoke_nomiss_2"	0	0	.8797997	.1983249	.1527115	.2110566	0	0	.1222806	.2076895
1	1	2	"smoke_nomiss_3"	.5927314	.9713408	0	0	0	0	1	.9193382	.2985747	0
1	1	2	"spleen"	.0014987	.0020471	.0016694	.0023931	.0008677	.001634	0	.0010341	.0015004	.0025153
1	1	2	"stroke_dementia"	.0003747	.0010235	0	.0011965	.0008677	.000817	.0007396	0	0	.0007186
1	0	3	"N"	.3116	.24905	.0077	.1561	.11155	.0428	.0277	.0291	.04805	.01635
1	0	3	"asthmacat_2"	.1009307	0	.1103896	0	.1125056	0	.8014441	.9381443	.1144641	0
1	0	3	"asthmacat_3"	.0126765	.0096366	.025974	.008328	.0062752	0	.0018051	0	.024974	.0428135
1	0	3	"cancer_exhaem_cat_2"	.0001605	.0006023	0	.0006406	0	0	.0018051	0	0	0
1	0	3	"cancer_exhaem_cat_3"	.0016046	.0010038	0	.0019218	.0013447	0	0	.0034364	.0020812	.0061162
1	0	3	"cancer_exhaem_cat_4"	.0019255	.0020076	.0064935	.0003203	.0013447	0	0	0	.0010406	0
1	0	3	"cancer_haem_cat_2"	.0001605	.0002008	0	0	0	0	0	0	0	0
1	0	3	"cancer_haem_cat_3"	.0003209	0	0	.0006406	0	0	0	0	0	0
1	0	3	"cancer_haem_cat_4"	.0004814	.0002008	0	0	0	0	.0072202	0	0	0
1	0	3	"chronic_cardiac_disease"	.0046534	.004216	.025974	.0051249	.0035858	0	.0054152	.0189003	.0052029	.0091743
1	0	3	"chronic_liver_disease"	.0024069	.0016061	0	.0019218	.0017929	0	.0018051	.0103093	.0041623	0
1	0	3	"chronic_respiratory_disease"	.0035302	.0028107	0	.0028828	.0031376	0	.0036101	.0103093	.0052029	0
1	0	3	"diabcat_2"	.0221438	.0307167	.0584416	.0304292	.0147916	0	.0144404	.032646	.0665973	.1009174
1	0	3	"diabcat_3"	.0093068	.0060229	.0649351	.0057655	.0044823	0	.0072202	.0171821	.0166493	.0519878
1	0	3	"diabcat_4"	.010751	.0094359	.0194805	.0121717	.0080681	0	.0054152	.0103093	.0166493	.0428135
1	0	3	"htdiag_or_highbp"	.0534339	0	.1363636	.054132	.0412371	0	.032491	.0670103	.094693	.9051988
1	0	3	"imd_2"	0	0	0	0	.9744509	0	0	0	0	0
1	0	3	"imd_3"	0	0	.6753247	1	0	0	.5685921	0	0	0
1	0	3	"imd_4"	0	1	0	0	0	0	0	.8848797	0	.7981651
1	0	3	"imd_5"	1	0	0	0	0	0	0	0	.8876171	0
1	0	3	"obese4cat_2"	0	.0893395	0	.0912876	.0690273	0	.0776173	.104811	1	.1559633
1	0	3	"obese4cat_3"	.0521502	.0297129	.8636364	0	.0291349	0	.0072202	.0532646	0	.0764526
1	0	3	"obese4cat_4"	.0205392	.0098374	0	.0131326	.0071717	0	.0144404	.0257732	0	.0672783
1	0	3	"organ_transplant"	.0009628	.0002008	0	.0003203	.0008965	0	0	.0034364	0	.0091743
1	0	3	"other_immunosuppression"	.0266367	.0285083	.0324675	.0358744	.066338	0	.0433213	.0360825	.0332986	.0244648
1	0	3	"other_neuro"	.0038511	.0038145	.0064935	.004164	.0049305	0	.0036101	.0068729	.0020812	0
1	0	3	"ra_sle_psoriasis"	.0296855	.0200763	.1558442	.0230621	.0255491	0	.0252708	.0412371	.0332986	.030581
1	0	3	"reduced_kidney_function_cat_2"	.0017651	.0002008	0	.0006406	.0004482	0	0	0	.0010406	.0061162
1	0	3	"reduced_kidney_function_cat_3"	.0011232	.0002008	0	0	.0004482	0	0	.0017182	0	.0091743
1	0	3	"smoke_nomiss_2"	.072208	.0636418	.0649351	.0765535	.0779919	0	.3104693	.104811	.0915713	.0856269
1	0	3	"smoke_nomiss_3"	.0431643	.0367396	.0584416	.0349135	.0367548	0	.0397112	.1391753	.0457856	.0244648
1	0	3	"spleen"	.0011232	.0008031	0	.0006406	.0004482	0	0	0	0	.0030581
1	0	3	"stroke_dementia"	.0012837	.0004015	0	.0012812	.0017929	0	.0018051	.0017182	.0010406	.0030581
1	1	3	"N"	.17035	.02525	.2041	.0453	.08135	.09765	.033	.2697	.0318	.0415
1	1	3	"asthmacat_2"	0	.9980198	0	0	.1229256	.1228879	.0833333	.1051168	.9968553	.1180723
1	1	3	"asthmacat_3"	.0044027	0	.0085742	.0198676	.0116779	.0081925	.0090909	.0068595	0	.0060241
1	1	3	"cancer_exhaem_cat_2"	0	0	0	0	.0006146	0	.0015152	.0007416	0	.0012048
1	1	3	"cancer_exhaem_cat_3"	.0002935	0	.00049	0	0	.0010241	.0030303	.0005562	0	.0012048
1	1	3	"cancer_exhaem_cat_4"	0	.0019802	.0019598	0	.0012293	.0015361	.0015152	.0003708	.0015723	0
1	1	3	"cancer_haem_cat_2"	.0002935	0	0	0	0	0	0	0	0	.0012048
1	1	3	"cancer_haem_cat_3"	0	0	.0007349	0	0	.000512	.0030303	.0001854	0	0
1	1	3	"cancer_haem_cat_4"	.0011741	0	.0024498	.0011038	.0012293	.0015361	0	.0005562	.0015723	.0012048
1	1	3	"chronic_cardiac_disease"	.0041092	.0019802	.0073493	.0121413	.0135218	.0051203	.0212121	.0048202	.0141509	.0036145
1	1	3	"chronic_liver_disease"	.0020546	.0019802	.0029397	.0055188	.0043024	.000512	.0015152	.0029663	.0015723	.0024096
1	1	3	"chronic_respiratory_disease"	.0011741	.0079208	.0022048	.00883	.004917	.0030722	.0015152	.0031517	.0062893	.0024096
1	1	3	"diabcat_2"	.0099795	.0217822	.0129838	.0320088	.0208974	.0143369	.0606061	.0164998	.0141509	.0192771
1	1	3	"diabcat_3"	.0093924	.0079208	.0058795	.0165563	.0116779	.0061444	.0409091	.0063033	.0157233	.0120482
1	1	3	"diabcat_4"	.0046962	.0079208	.0058795	.0187638	.0122926	.0081925	.0181818	.0096403	.0125786	.0108434
1	1	3	"htdiag_or_highbp"	.0763135	.1089109	.0970113	.1192053	.122311	.0896057	.9681818	0	.0990566	.1228916
1	1	3	"imd_2"	0	0	0	0	0	1	0	0	0	0
1	1	3	"imd_3"	.8062812	.6594059	0	0	0	0	.0015152	0	0	.7939759
1	1	3	"imd_4"	0	0	0	0	0	0	.8666667	1	0	0
1	1	3	"imd_5"	0	0	.9946105	.7913907	1	0	0	0	.9968553	0
1	1	3	"obese4cat_2"	.044614	.0752475	.0587947	.1280353	.0971112	.0563236	.1439394	.0504264	.1022013	.0879518
1	1	3	"obese4cat_3"	.0117405	.0217822	.0173934	.0331126	.0282729	.0194572	.0454545	.0155729	.0330189	.0228916
1	1	3	"obese4cat_4"	.0055768	.0118812	.0088192	.0055188	.0098341	.0087046	.0272727	.0066741	.0157233	.0108434
1	1	3	"organ_transplant"	.000587	0	.0014699	0	0	.000512	.0030303	.0001854	0	0
1	1	3	"other_immunosuppression"	.0038157	.0039604	.0088192	.0066225	.0055317	.0081925	.0030303	.0061179	0	.0084337
1	1	3	"other_neuro"	.0008805	.0039604	.0048996	.0033113	.0030731	.0020481	.0060606	.0027809	.0110063	0
1	1	3	"ra_sle_psoriasis"	.0129146	.0237624	.0227829	.0143488	.0276583	.0189452	.0272727	.020393	.0314465	.0253012
1	1	3	"reduced_kidney_function_cat_2"	.000587	0	.0012249	0	.0006146	0	.0060606	.0001854	.0015723	0
1	1	3	"reduced_kidney_function_cat_3"	.000587	0	.00049	.0022075	.0012293	.0020481	.0030303	.0001854	0	0
1	1	3	"smoke_nomiss_2"	.1215145	.2019802	0	.9558499	0	.140297	.1424242	.1190211	.2468553	0
1	1	3	"smoke_nomiss_3"	0	0	0	0	1	.15617	.1530303	.1822395	0	1
1	1	3	"spleen"	.0002935	.0059406	.000245	0	.0012293	0	0	.0007416	.0015723	.0012048
1	1	3	"stroke_dementia"	0	0	.0007349	.0033113	.0012293	.0010241	.0030303	.0012977	0	.0024096
1	0	4	"N"	.24245	.10205	.0895	.0262	.03055	.29895	.0169	.0255	.13465	.03325
1	0	4	"asthmacat_2"	.1076511	.1161195	.4944134	.1698473	.0687398	0	.0680473	.1117647	.1113999	0
1	0	4	"asthmacat_3"	.0061868	.0053895	.0100559	.0324427	.0065466	.0091989	.0029586	.0039216	.00557	0
1	0	4	"cancer_exhaem_cat_2"	.0004125	.00049	0	0	0	.0005018	.0029586	.0019608	.0007427	0
1	0	4	"cancer_exhaem_cat_3"	.0016498	.0019598	.0027933	0	.0016367	.001338	.0059172	.0019608	.001114	0
1	0	4	"cancer_exhaem_cat_4"	.0012374	.0014699	.001676	0	.0032733	.0008363	.0088757	.0019608	.0018567	0
1	0	4	"cancer_haem_cat_2"	.0004125	0	0	0	0	.0001673	0	0	0	0
1	0	4	"cancer_haem_cat_3"	.0002062	0	0	0	.0016367	0	0	.0019608	.0007427	0
1	0	4	"cancer_haem_cat_4"	0	.00049	.0005587	.0038168	0	.0001673	0	.0019608	.0007427	0
1	0	4	"chronic_cardiac_disease"	.0035059	.0044096	.0122905	.009542	.0032733	.0036795	.0088757	.0019608	.0048273	0
1	0	4	"chronic_liver_disease"	.0047432	.0048996	.0078212	.0019084	.0212766	.0061883	.0088757	.0039216	.002228	0
1	0	4	"chronic_respiratory_disease"	.0016498	.0019598	.0055866	.0019084	.0065466	.0016725	0	0	.0014853	0
1	0	4	"diabcat_2"	.0164982	.0137188	.0256983	.0229008	.0196399	.0107041	.0147929	.0333333	.01114	0
1	0	4	"diabcat_3"	.0055682	.0044096	.0083799	.0114504	.0081833	.0048503	.0029586	.0156863	.00557	0
1	0	4	"diabcat_4"	.0094865	.0122489	.0145251	.0057252	.0065466	.0088644	.0088757	.0235294	.01114	0
1	0	4	"htdiag_or_highbp"	.0760982	.0764331	.122905	.101145	.1309329	.0707476	.3372781	.1313726	.0828073	0
1	0	4	"imd_2"	0	.9632533	0	0	0	0	0	0	0	0
1	0	4	"imd_3"	0	0	0	0	0	0	0	.7509804	1	0
1	0	4	"imd_4"	1	0	0	.8225191	0	0	.7485207	0	0	0
1	0	4	"imd_5"	0	0	.9396648	0	.8412439	.9961532	0	0	0	0
1	0	4	"obese4cat_2"	.127449	.1229789	.5726257	.1049618	.1734861	0	.1153846	.9882353	0	0
1	0	4	"obese4cat_3"	.0565065	.0617344	.0396648	.0572519	.0769231	.0702459	.0769231	0	.070182	0
1	0	4	"obese4cat_4"	.0303155	.0298873	.0301676	.0916031	.0376432	.0372972	.0591716	0	.0349053	0
1	0	4	"organ_transplant"	.0004125	0	.0011173	0	0	.0003345	.0059172	0	0	0
1	0	4	"other_immunosuppression"	0	.0548751	0	.0362595	.9934534	0	.7721894	.0431373	.052358	0
1	0	4	"other_neuro"	.0039183	.0048996	.0022346	.0114504	.0016367	.0031778	.0029586	.0058824	.003342	0
1	0	4	"ra_sle_psoriasis"	.0134048	.0137188	.0145251	.0400763	.0114566	.0118749	.0236686	.0176471	.0148533	0
1	0	4	"reduced_kidney_function_cat_2"	.0018561	.0014699	.0022346	.0019084	.0032733	.0011708	.0029586	.0039216	.002228	0
1	0	4	"reduced_kidney_function_cat_3"	.0008249	0	.001676	0	.0016367	.0003345	.0059172	0	.0003713	0
1	0	4	"smoke_nomiss_2"	.1136317	.1430671	.1519553	0	.1162029	.0854658	.1508876	.1294118	.1173413	0
1	0	4	"smoke_nomiss_3"	0	.0583048	.1089385	.9255725	.0572831	.0794447	0	.0705882	.0776086	0
1	0	4	"spleen"	.0076304	.0127389	.0050279	.0038168	.0065466	.0050176	.0029586	0	.008912	0
1	0	4	"stroke_dementia"	.0014436	.00049	.0011173	.0019084	.0032733	.0015053	0	0	.0014853	0
1	1	4	"N"	.1013	.348	.1548	.04725	.018	.0416	.01025	.025	.05335	.20045
1	1	4	"asthmacat_2"	.0528134	0	.119186	1	.1277778	.0204327	.0682927	.07	.1330834	.1020205
1	1	4	"asthmacat_3"	.0034551	.0051724	.005491	0	.0083333	.0096154	.0195122	.006	.0065604	.0052382
1	1	4	"cancer_exhaem_cat_2"	0	.0001437	0	0	0	0	0	0	0	0
1	1	4	"cancer_exhaem_cat_3"	0	0	.000323	0	0	.0024038	0	.002	0	.0002494
1	1	4	"cancer_exhaem_cat_4"	.0004936	.0007184	.001292	0	.0027778	0	.004878	0	.0018744	.0004989
1	1	4	"cancer_haem_cat_2"	0	.0001437	0	0	0	0	0	0	0	0
1	1	4	"cancer_haem_cat_3"	0	.0005747	.000646	0	0	.0012019	0	0	.0009372	.0004989
1	1	4	"cancer_haem_cat_4"	0	.0001437	.000646	.0010582	.0027778	.0012019	0	0	.0009372	.0009978
1	1	4	"chronic_cardiac_disease"	.0024679	.0033046	.004199	.0074074	.0083333	.0096154	.0292683	.018	.0065604	.0044899
1	1	4	"chronic_liver_disease"	.0049358	.0091954	.004522	.0031746	0	.0204327	.0097561	.008	.0065604	.0064854
