rf	rfcat	sex	age	risk30	risk60	risk80
"imd"	5	0	1	2.81e-11	1.45e-06	6.71e-06
"imd"	1	1	1	2.64e-11	1.36e-06	6.30e-06
"imd"	2	1	1	3.27e-11	1.69e-06	7.80e-06
"imd"	3	1	1	3.57e-11	1.85e-06	8.53e-06
"imd"	4	1	1	4.49e-11	2.32e-06	.0000107
"imd"	5	1	1	4.82e-11	2.49e-06	.0000115
"imd"	1	0	2	6.61e-11	3.41e-06	.0000158
"imd"	2	0	2	8.08e-11	4.17e-06	.0000193
"imd"	3	0	2	8.89e-11	4.59e-06	.0000212
"imd"	4	0	2	1.19e-10	6.16e-06	.0000284
"imd"	5	0	2	1.40e-10	7.24e-06	.0000334
"imd"	1	1	2	1.23e-10	6.37e-06	.0000294
"imd"	2	1	2	1.51e-10	7.79e-06	.000036
"imd"	3	1	2	1.66e-10	8.58e-06	.0000396
"imd"	4	1	2	2.18e-10	.0000113	.0000521
"imd"	5	1	2	2.44e-10	.0000126	.0000582
"imd"	1	0	3	1.76e-10	9.12e-06	.0000421
"imd"	2	0	3	2.19e-10	.0000113	.0000523
"imd"	3	0	3	2.48e-10	.0000128	.0000592
"imd"	4	0	3	3.45e-10	.0000178	.0000824
"imd"	5	0	3	4.26e-10	.000022	.0001016
"imd"	1	1	3	3.52e-10	.0000182	.000084
"imd"	2	1	3	4.38e-10	.0000226	.0001044
"imd"	3	1	3	4.94e-10	.0000255	.0001177
"imd"	4	1	3	6.74e-10	.0000348	.0001607
"imd"	5	1	3	8.01e-10	.0000414	.0001911
"imd"	1	0	4	4.83e-10	.000025	.0001152
"imd"	2	0	4	6.10e-10	.0000315	.0001454
"imd"	3	0	4	6.92e-10	.0000357	.000165
"imd"	4	0	4	9.81e-10	.0000507	.000234
"imd"	5	0	4	1.28e-09	.0000659	.0003042
"imd"	1	1	4	1.03e-09	.0000534	.0002467
"imd"	2	1	4	1.29e-09	.0000664	.0003067
"imd"	3	1	4	1.47e-09	.0000757	.0003496
"imd"	4	1	4	2.03e-09	.0001051	.0004849
"imd"	5	1	4	2.56e-09	.0001321	.0006098
"imd"	1	0	5	1.29e-09	.0000669	.0003087
"imd"	2	0	5	1.63e-09	.0000844	.0003895
"imd"	3	0	5	1.88e-09	.000097	.0004477
"imd"	4	0	5	2.70e-09	.0001392	.0006425
"imd"	5	0	5	3.62e-09	.0001868	.000862
"imd"	1	1	5	2.94e-09	.0001517	.0007
"imd"	2	1	5	3.68e-09	.0001899	.0008761
"imd"	3	1	5	4.15e-09	.0002144	.000989
"imd"	4	1	5	5.84e-09	.0003013	.0013894
"imd"	5	1	5	7.45e-09	.0003849	.001774
"imd"	1	0	6	4.64e-09	.0002397	.0011059
"imd"	2	0	6	5.88e-09	.0003035	.0013997
"imd"	3	0	6	6.53e-09	.0003371	.0015546
"imd"	4	0	6	9.03e-09	.0004662	.0021484
"imd"	5	0	6	1.15e-08	.0005947	.0027384
"imd"	1	1	6	1.00e-08	.0005176	.0023844
"imd"	2	1	6	1.24e-08	.0006397	.0029452
"imd"	3	1	6	1.39e-08	.0007176	.0033026
"imd"	4	1	6	1.89e-08	.0009725	.0044699
"imd"	5	1	6	2.34e-08	.0012043	.0055279
"asthmacat"	1	0	1	2.19e-11	1.13e-06	5.23e-06
"asthmacat"	2	0	1	2.30e-11	1.19e-06	5.49e-06
"asthmacat"	3	0	1	3.64e-11	1.88e-06	8.68e-06
"asthmacat"	1	1	1	3.96e-11	2.04e-06	9.44e-06
"asthmacat"	2	1	1	3.62e-11	1.87e-06	8.64e-06
"asthmacat"	3	1	1	5.75e-11	2.97e-06	.0000137
"asthmacat"	1	0	2	9.58e-11	4.95e-06	.0000229
"asthmacat"	2	0	2	1.06e-10	5.47e-06	.0000253
"asthmacat"	3	0	2	1.59e-10	8.21e-06	.0000379
"asthmacat"	1	1	2	1.81e-10	9.33e-06	.0000431
"asthmacat"	2	1	2	1.87e-10	9.68e-06	.0000447
"asthmacat"	3	1	2	2.91e-10	.000015	.0000694
"asthmacat"	1	0	3	2.64e-10	.0000137	.0000631
"asthmacat"	2	0	3	3.20e-10	.0000165	.0000764
"asthmacat"	3	0	3	5.01e-10	.0000259	.0001194
"asthmacat"	1	1	3	5.36e-10	.0000277	.0001278
"asthmacat"	2	1	3	5.95e-10	.0000307	.0001419
"asthmacat"	3	1	3	9.78e-10	.0000505	.0002333
"asthmacat"	1	0	4	7.32e-10	.0000378	.0001746
"asthmacat"	2	0	4	9.35e-10	.0000483	.000223
"asthmacat"	3	0	4	1.49e-09	.0000772	.0003561
"asthmacat"	1	1	4	1.58e-09	.0000818	.0003775
"asthmacat"	2	1	4	1.84e-09	.0000952	.0004393
"asthmacat"	3	1	4	3.08e-09	.0001593	.000735
"asthmacat"	1	0	5	1.95e-09	.0001007	.000465
"asthmacat"	2	0	5	2.53e-09	.0001306	.0006026
"asthmacat"	3	0	5	3.94e-09	.0002036	.0009395
"asthmacat"	1	1	5	4.38e-09	.000226	.0010426
"asthmacat"	2	1	5	5.22e-09	.0002694	.0012425
"asthmacat"	3	1	5	8.41e-09	.0004342	.002001
"asthmacat"	1	0	6	6.93e-09	.0003578	.0016493
"asthmacat"	2	0	6	8.21e-09	.0004239	.0019535
"asthmacat"	3	0	6	1.17e-08	.0006054	.0027864
"asthmacat"	1	1	6	1.44e-08	.0007435	.0034203
"asthmacat"	2	1	6	1.70e-08	.0008761	.0040259
"asthmacat"	3	1	6	2.51e-08	.0012943	.005937
"diabcat"	1	0	1	2.14e-11	1.10e-06	5.10e-06
"diabcat"	2	0	1	6.67e-11	3.45e-06	.0000159
"diabcat"	3	0	1	7.96e-11	4.11e-06	.000019
"diabcat"	4	0	1	6.50e-11	3.36e-06	.0000155
"diabcat"	1	1	1	3.76e-11	1.94e-06	8.96e-06
"diabcat"	2	1	1	1.23e-10	6.36e-06	.0000294
"diabcat"	3	1	1	1.39e-10	7.20e-06	.0000332
