description,patient
"General mechanic, workshops - RAF",2
Product inspectors &/or graders,2
Pottery decorator,2
Foreman: other metal workers,2
Foreman: metal pipes/sheets,2
General pathologist,2
Foreman - forestry workers,2
Foreman - civil engineering equipment wor,2
Port control signalman,2
Pollution inspector,2
Food processor - filterer,2
Pumpman,2
Pure mathematician,2
RAF - non-commissioned personnel,2
"General technician, ground service equipm",2
Fitting - metal product,2
RAF police,2
"Engineering officer, photographic equipme",2
Kiln burner,2
Hearing therapist,2
Parliamentary agent,2
Inspector - N.S.P.C.C.,2
Dubbing mixer,2
Dryerman - paper/board processing,2
Driving instructor (& [private]),2
Second opinion doctor appointed under par,2
Driver port operator - Royal Logistics Co,2
Selling sex from a premises,2
EEG technician,2
Office machinery mechanic,2
Insurance inspector - property,2
Senior registrar,2
Diver &/or frogman,2
Sewage works manager,2
Intensive care specialist,2
Ship radio officer,2
Nurse of the prescribed class under secti,2
Domiciliary physiotherapist,2
Salvage officer - senior,2
Industrial social worker,2
Rubber technologist,2
Engineer resources specialist - Royal Eng,2
Restorative dentist,2
Histologist,2
Rheumatology nurse specialist,2
Employment exchange manager,2
Pain management specialist,2
Riveter,2
Pain control nurse,2
Paediatric intensive care specialist,2
Hospital-based speech and language therap,2
PMRAFNS - RAF,2
Royal Army Medical Corps personnel,2
Housing &/or planning inspector,2
Royal Engineers personnel,2
Orchard worker,2
Royal Signals personnel,2
Electrical and mechanical draftsman - Roy,2
Parliamentary counsel,2
Filler - product,2
Marriage guidance counsellor,2
Trainee wholesale manager,2
Assistant: [building] or [other technical,2
Woodworker's mate,2
Trainee physicist,2
Trainee technical sales representative,2
Artificial limb fitter,2
Trainee technologist,2
(Leather worker(s)) or (footwear worker [,2
Bowling alley manager,2
Approved welder - Royal Engineers,2
Active serving member of the Royal Marine,2
Warp preparer,2
Bridgeman,2
Thoracic surgeon,2
Andrologist,2
"Airman, aircrew - RAF",2
Trainee office machine operator,2
Adjudicator N.I. regulations,2
Trainee flight deck officer,2
"Avionics mechanic, technical - RAF",2
Tobacco processor,2
Blast furnaceman,2
(Manag undergr mining) or (drill manager),2
Tracer - drawing office,2
Trade group 15 personnel - RAF,2
Bomb disposal engineer,2
Trained nurse counsellor,2
Beaterman - paper/board processing,2
Wig maker,2
Bookbinders &/or paper workers,2
Trainee air traffic controller,2
Trainee bookbinder,2
Bargeman,2
Well driller,2
Boot maker,2
Welfare trainee,2
Adjudicator NOS,2
(Launderer(s) &/or dry cleaner(s)) or (pr,2
Air traffic: [planning/control] or [contr,2
Air engineer - Royal Navy,2
Aeronautical engineer - consultancy/advic,2
Vehicle mechanic - Royal Marines,2
Air cartographer - RAF,2
Air compression operator,2
Veneer cutter,2
Vehicle wash plant worker (& [carwash]),2
Aerospace systems operator - RAF,2
Vision equipment operator,2
Wrapping machine attendant,2
Valveman,2
Dip painter/coater,3
Ship master/officer/pilot NOS,3
Shorthand writer,3
Director of music - RAF,3
Lady's maid,3
Natural scientist manager,3
Newsreader (radio/t.v.),3
Slater,3
National government (& top managers),3
Gun merchant,3
Customs &/or excise officer,3
Dock master,3
Kiln setter,3
Precious stone worker,3
Pottery/ceramics finisher,3
Detail draughtsman,3
Punch card machine operator,3
Soldier - Royal Armoured Corps,3
Glass decorator,3
"Lower supervisory, craft and related occu",3
"Pilot, general duties - RAF",3
Commercial watercraft crew member,3
Biophysicist,3
Communications systems analyst - RAF,3
Mining engineer manager,3
Steel smelting furnaceman,3
Pipe metal worker,3
"General technician, workshops - RAF",3
Plumber and pipe fitter - Royal Engineers,3
(Metal worker (& fitt):[sheet][pipe][stru,3
Construction materials technician - Royal,3
Legal officer - RAF,3
Special Air Services soldier,3
Coronary care nurse,3
Leather pattern cutter,3
Leather goods maker,3
Aeronautical engineer - feasibility studi,3
Wig dresser,3
Gunner - RAF,3
Key-punch operator,3
Photographer - RAF,3
Organ tuner,3
Refuse collector &/or dustman,3
Foreman: electrical production,3
Recovery mechanic - Royal Electrical & Me,3
Foreman: coal mining,3
Hospital-based podiatrist,3
Foreman - water transport,3
Warfare branch personnel - Royal Navy,3
Turf layer,3
Paediatric neurologist,3
Paediatric rheumatologist,3
Fishing supervisor,3
Hospital (& [ward]) orderly,3
Visiting specialist registrar,3
Aircraft technician - Royal Electrical &,3
Footwear worker,3
Food processor - blender,3
"Aircraft mechanic, technical - RAF",3
Under care of ophthalmic consultant,3
Hydrobiologist,3
Operations communications - Royal Navy,3
Engineering surveyor - Royal Engineers,3
Watch &/or clock repairers,3
Public relations: [officer] or [executive,3
Seaman - Royal Logistics Corps,3
Printing electrotyper,3
Nurse psychotherapist,3
Nursing continence advisor,3
Rubber &/or plastic workers,3
Printing stereotyper,3
Royal Navy - non-commissioned personnel,3
Hand surgeon,3
Automatic data processing specialist - Ro,3
Electrical engineer - liaison,3
Weigher/measurer,3
Electrical engineering technician - RAF,3
"Air traffic controller, general ground du",3
Rope maker,3
Water bailiff,3
Furnaceman - metal NOS,3
Forger,3
Property &/or estate manager,3
Oiler/greaser,3
Royal Marines - non-commisioned personnel,3
Button maker/operative/supervisor,3
Nuclear plant worker,3
Supervisor of typist NOS,3
Telegraph operator,3
Metal furnaceman,3
Stone shaper,3
Manager - pig farm,3
Medical assistant - RAF,3
Telecommunications mechanic - Royal Signa,3
Clinical pharmacologist,3
Bottler - product,3
Military policeman or policewoman - Adjut,3
Machinery erector,3
Cement maker,3
Clinical immunologist,3
Bottling machine attendant,3
Technical drawing checker,3
Calculating machine operator,3
Master chef - Royal Logistics Corps,3
Teacher of the handicapped,3
Student mental nurse - RAF,3
Clinical geneticist,3
Sub-agent,3
(Fitter's mate) or (fitter/maintainer/mec,3
Nuclear medicine physician,4
Drama therapist,4
Tile worker,4
Trainee costing clerk,4
Setter operator - woodwork,4
Trainee clerk,4
Food processor - mixer,4
Hop garden worker,4
Senior operator - chemical production,4
Burial occupations,4
Labeller - hand,4
Forest officer,4
Health care assistant - Royal Army Nursin,4
Social security manager,4
Dance therapist,4
Foreman-paper/board processors,4
"Military policeman/woman, spec invest bra",4
Maintainer - metal,4
Foreman - tannery production,4
Dental surgical assistant - RAF,4
Deputy - coal mining,4
Neurology nurse,4
Hearing aid dispenser,4
Airbroker,4
Buyer - advertising space,4
Aircraft artificer - Royal Electrical & M,4
Public health nurse,4
Flight navigator,4
Radiation protection physicist,4
Driver - Royal Logistics Corps,4
Hotel detective,4
Manager - livestock farm,4
Organ builder,4
Instrument technician - Royal Electrical,4
(Farmer unspecified) or (general farm wor,4
Metal annealer/temperer,4
Fettler - metal,4
Renal dietitian,4
Incinerator operator,4
Appeals tribunal member,4
Repetitive assembler - paper,4
Breast surgeon,4
Supervisor:telegraph operative,4
Appraiser (services standards),4
Renal nurse,4
Palaeontologist,4
"Electrical mechanic, telecommunications -",4
Royal Army Veterinary Corps personnel,4
Painter and decorator - Royal Engineers,4
Numerical control planner,4
Chief draughtsman,4
Audiological scientist,4
Chief cameraman - films,4
Metal production fitter,4
Fibre preparing processor,4
Economist/statistician/actuary NOS,4
Radio/telegraph operator,4
Paediatric endocrinologist,4
Intelligence and security operator - Inte,4
Active serving member of the Royal Navy R,4
Travel steward(s) &/or attendants,4
Chemical pathologist,4
Trainee office manager,4
Technical service advisor - chemical engi,4
Operating theatre technician - RAF,4
Mattress maker,4
Mixer,4
Mechanical engineer - feasibility studies,4
Leather sewer/stitcher,4
Clinical neurophysiologist,4
Cardiothoracic surgeon,4
Telegraph telecommunications operator - R,4
Mining engineer - ores and minerals,4
Compressor operator,4
Steel maker,4
Physical training and remedial personnel,4
Company registrar,4
Gas compressor operator,4
Hand: [sewer] or [embroiderer],4
Stage manager - t.v.,4
Steel: [rigger] or [general worker],4
Telecine operator,4
Hand presser - garments,4
Station foreman,4
Community-based podiatrist,4
Commissioned officer aviation - Royal Nav,4
Marine superintendent,4
Geographer,4
Production engineer trainee,4
Light aircraft pilot - Royal Marines,4
Teleprinter operator,4
Plastics processor,4
Tiler (& floor/wall),4
Physical chemist,4
Lift attendant,4
Line maker,4
Precision instrument maker,5
Welfare officer for the physically handic,5
School medical officer,5
All arms military musician,5
Administrative officer catering - RAF,5
University vice-chancellor,5
Press tool setter,5
Telecommunications operator - RAF,5
Average adjuster,5
Burial occupation NOS,5
(Religious occupations) or (clergy) or (r,5
Gas production manager &/or gas supply ma,5
Trainee laboratory technician,5
Racing motor cyclist,5
Mining surveyor,5
Driver electrician - Royal Signals,5
Trained social worker counsellor,5
Nursing officer - division,5
Sailmaker,5
Acrobat,5
Chemical engineer - consultancy/advice,5
Orchestrator/arranger,5
Engineer - Royal Navy,5
Artist's model,5
Remedial gymnast,5
Instruction writer,5
Play specialist,5
Occupational therapy technical instructor,5
Farming (& [farm]) &/or fishing managers,5
Other metal furnaceman,5
Recovery nurse,5
Machineman - paper/board processing,5
Stone polisher,5
Obstetrician,5
Animal technical assistant - Royal Army V,5
Communications technician - Royal Navy,5
Chartering clerk - sea,5
Trust officer,5
Stock exchange clerk,5
Film recorder operator,5
Chemotherapy nurse,5
Rail transport manager,5
Radiographer - RAF,5
Turbine operator,5
Nurse tutor,5
Attendant - medical,5
Hospital orderly,5
Meter coin collector,5
Chief operator - chemical production,5
Foreman/men - farming &/or horticulture,5
Construction metal driller,5
Foreman - rail transport,5
Veterinary technician - Royal Army Veteri,5
Nephrologist,5
Ships' masters/officers,5
Beekeeper,5
Labourer NOS: [heavy] or [light],5
(Operat: [compress]/[elec power plant]) o,5
Teacher of the deaf,5
Furnaceman - processing,5
Heating &/or ventilating engineer,5
Gas processor,5
Air transport manager,5
Foreman: metal product fitting,5
(Counsel (& [legal]) or (advocate - legal,5
Laundering supervisor,5
Musical composer(s) &/or choreographers,5
Foreman: product inspecting,5
Foremen - caretaking &/or cleaning,5
Critic,5
Crematorium furnace worker,5
Clay worker,5
Continence nurse,5
Accounting machine operator,5
Soldier - under training,5
Ship chief engineer,5
Manager - underground mining,5
Trainee chemical scientist,5
Clay/stone working foreman,5
Labeller - product,5
Bill poster,5
Trainee construction manager,5
Die caster,5
(Oth mach/plant work)(electr power plant,5
Medical orderly,6
Cytologist,6
Trainee fireman,6
Air traffic planning/control,6
Food processing steriliser,6
Maker NOS,6
Average adjuster's clerk,6
Data telecommunications operator - Royal,6
Royal Marines officer,6
Foreman: metal making/treating,6
Coach trimmer,6
Deck/engineroom hand,6
Speciality of occupational therapist,6
Estimator(s) &/or valuer(s) &/or assessor,6
Clinical oncologist,6
Arts therapist,6
Soldier - Army Air Corps,6
Machinist fitter - Royal Engineers,6
Surgical appliance maker,6
Parkinson's disease nurse,6
Nuclear plant operator,6
Registered general nurse - RAF,6
Glass/shaper/former - machine,6
Aeronautical engineer - manager,6
Art therapist,6
Officer: [forces] or [police/prison/fire],6
Air traffic planning/control NOS,6
Employers and managers in larger organisa,6
Manager electricity production,6
Respiratory physician,6
Aircraft electrical mechanic - RAF,6
Man-made fibre maker,6
Photocopying machine operator,6
Addressing machine operator,6
Trainee manager - works,6
Machinery erector/installer,6
Diabetes dietitian,6
Cellarman,6
Labelling machine attendant,6
Laboratory technician - materials prepara,6
Fisherman - deck hand,6
Partner of general practitioner,6
Community-based speech and language thera,6
Ironer,6
Probate clerk,6
Drilling engineer,6
"Engineering officer, ground services - RA",6
Aeroplane co-pilot,6
Foreman - textile processors,6
Manager gas production/supply,6
Natural scientist,6
Rubber mould maker,6
Manager electricity production/supply,6
Rubber moulder,6
Supervisor property,6
Palliative care physician,6
Rubber processor,6
Schedule clerk,6
Anaesthetic nurse,6
Paediatric gastroenterologist,6
(Insurance &/or tax specialist) or (tax c,6
Plastics technologist,6
Winder,6
Foreman -textile material work,6
Repetitive assembler - wood,6
Announcer (radio/t.v.),7
Entomologist,7
Geological scientist manager,7
Gas cylinder filler,7
Personnel assistant - Adjutant General's,7
Public lighting attendant,7
Print plate preparer NOS,7
Press &/or stamping machine operator,7
Racing car driver,7
Fishing manager,7
Hand sewer,7
Telecommunications technician - Royal Sig,7
Pottery/ceramics decorator,7
Aeronautical engineer - research/developm,7
Physical scientist manager,7
Prostitute,7
Physical training instructor - Army Physi,7
Harbour master,7
Foreman: painting/coating,7
Recreation manager,7
General practitioner grade,7
Regimental accountant - Adjutant General',7
Progress clerk,7
Hospital-based occupational therapist,7
Oiler,7
Glass finisher,7
Weight lifter,7
"Electrical technician, telecommunications",7
Livestock classifier/marker,7
Royal Logistics Corps personnel,7
Electrical engineer - feasibility studies,7
Librarian/info.officer NOS,7
Maintenance technician - chemical enginee,7
Bereavement counsellor,7
Rubber/plastic worker NOS,7
Scaffolder &/or stager,7
Leather worker NOS,7
Welfare officer (for staff),7
Nurse administrator,7
Sound &/or vision equipment operator,7
Load control clerk,7
Milliner,7
Crop harvester,7
Crusher/miller/mixer NOS,7
Trainee artist,7
Launderer/dry cleaner NOS,7
Deck hand,7
(Health officer: [public]/[environment]),7
Skipper - fishing vessel,7
(Priv detective) or (secur guard) or (oth,7
Laboratory technician - physics,7
Semi-routine occupations,7
Supervisor property NOS,7
Tile/slab caster,7
Ship mate,7
Trainee librarian,7
Electrician - Royal Engineers,7
Sewing machinist (& [textile]),7
Mining engineer - coal,7
Mine/quarry/drill eng. NOS,7
Mining &/or quarrying &/or drilling engin,7
Stockman NOS,7
Committee secretary,7
Comedian,7
Tool setters (& [machine] and/or [press]),7
Twine maker,8
Civil engineering equipment work NOS,8
Stockman - beef cattle,8
Colorectal surgeon,8
Dry cleaning machine operator,8
Driving/traffic examiner,8
Checker - product,8
Vehicle mechanic - Royal Electrical & Mec,8
Endocrinologist,8
Play therapist,8
Research registrar,8
Cloakroom attendant,8
Glass technologist,8
Bargeman/tugman,8
Ship's plater,8
Patent agent,8
Pipe/sheet metal worker NOS,8
Purchasing officer(s) &/or buyer(s),8
Optical printer (line-film),8
Neurosurgeon,8
Foreman - materials moving/storing,8
Chemical engineer - design,8
Repetitive assembler - textile,8
Heating fitter,8
Textile repairer,8
All arms military driver,8
Ship pilot,8
Behaviour therapy assistant,8
Active serving member of the Royal Navy,8
Regimental admin officer finance - Adjuta,8
Occupational health service manager,8
Gate-keeper,8
Physical scientist NOS,8
Vehicle finisher,8
Electricity switchboard op.,8
Manager - mixed livestock farm,8
Sea transport manager,8
Intelligence officer,8
Storeman technician - Royal Electrical &,8
Ceramics worker,8
Active serving member of the Royal Air Fo,8
Mining engineer,8
Sports team manager,8
Manager - refuse disposal,8
Nurse teacher practitioner,8
Rehabilitation physician,8
Textile linking machinist,8
Family planning doctor,8
Wood processor,9
Community-based occupational therapist,9
Spinner,9
Wood carver,9
Foreman - horticulture workers,9
Music therapist,9
Comedian/clown,9
Concrete maker,9
Musician - Royal Marines,9
Print buyer - advertising,9
Trainee catering manager,9
Medical oncologist,9
Ventilating engineer,9
Glass processor,9
Lock gateman,9
Trained personnel counsellor,9
Case maker,9
Pig man,9
Lighting manager - t.v.,9
Community nurse manager,9
Miner/quarryer/driller NOS,9
Kitchen porters &/or hands,9
Engraver,9
Innkeeper,9
Applied mathematician,9
Repetitive assembler,9
Watch repairer,9
Woodworking foreman,9
Rheumatologist,9
Stocks and bonds registrar,9
Trainee printer,9
Packer - glass/china,9
Tunnel miner,9
(Fitters/maintainers/mechanics [& metal]),9
Justices' clerk's assistant,9
Kennel assistant - RAF,9
Histopathologist,9
Electrical &/or electronic engineer(s),9
University dean,9
Tannery production worker,9
Catering clerk - RAF,9
Ward manager,9
Manager - arable and livestock farm,10
Lower managerial and professional occupat,10
Ship master,10
Supervisor of typists etc.,10
Watch/clock repairer,10
Nurse lecturer practitioner,10
Paediatric surgeon,10
Cardiac rehabilitation nurse,10
Dog trainer - Royal Army Veterinary Corps,10
Therapists: [physio/occupational/speech],10
Associate specialist,10
Student health visitor,10
Porter(s) (& [hall]),10
Hand pottery maker,10
General mechanic - RAF,10
Town planning technician,10
Roofer &/or slater,10
Poultry dresser,10
Mortuary attendant,10
Electrical product fitter,10
Mining/quarrying/drilling engineer,10
Chemical engineering technical assistant,10
Public utility inspector,10
Hydrographic surveyor,10
"Heating, ventil & air conditioning fitter",10
Train (& rail[way] engine) driver,10
Heating/ventilating fitter,10
Seen by Educational Psychologist,10
Knitting machine mechanic,10
Selling sex on the street,10
Glass fibre worker,10
Supervisor: library clerks,10
Casting director,10
Prostitute NOS,10
University academic (& [staff]),10
Air transport occupation,10
Repetitive assembler -minerals,10
Senior police/prison/fire brigade manager,10
Building society manager (& [branch]),10
Stoma care nurse,10
Vehicle builder,10
Trainee - armed forces,10
Work placement officer,10
Wardrobe mistress,10
Wood polisher (small pieces),10
Pattern maker (mould),10
Protective services occupation,10
Tissue viability nurse,11
Trainee secretary,11
Traffic dispatcher - air,11
Clothing pattern maker,11
Resident engineer-construction,11
Ticket collector - railway,11
Stockman - sheep,11
Animal trader,11
Aeronautical engineer - design,11
Gov't. intelligence officer,11
Repairer NOS,11
Etcher/engraver,11
Plant operator mechanic - Royal Engineers,11
Manager - bus/coach station,11
Office manager - statistics,11
Civil engineer - feasibility studies,11
Trainee photographer,11
Building society manager,11
Forensic psychiatrist,11
Wild animal attendant,11
National gov't. officer,11
Forestry worker NOS,11
Audiovisual aids operator,11
Care of the elderly physician,11
Specialist registrar,11
Paper/board processor NOS,11
Sports official,11
Rubber/plastic worker,11
Flight deck officer NOS,11
Fitters: [electric product] or [electrica,11
Supervisor - chemical/gas/petroleum produ,11
Woodcutting machine setter,11
(Welf occ) or (soc serv worker (& named v,11
Hand moulder/core maker -metal,11
Chief steward,11
Store guide,11
Automatic machine attendant,11
Neonatologist,11
Manager - sports,11
Store detective,11
Systems telecommunications technician - R,11
Quarry manager,11
Stationman - railway - NOS,11
Spray polisher,11
Adjudicator,11
Miller,12
Manager - dairy farm,12
Aero-engine fitter,12
Mathematician NOS,12
(Other makers/repairers) or (maker NOS) o,12
(Dir/prod/managers)(entertain [dir][produ,12
Hospital physicist,12
Liaison nurse,12
(Clay/ston worker)/(ceram worker)/(pot wo,12
Hall porter,12
Water transportman NOS,12
Medical attendant/orderly NOS,12
Insurance surveyor,12
Moral welfare worker,12
Manager - arable farm,12
Vehicle electrician - Royal Electrical &,12
(Entertainm &/or sports manager(s)) or (r,12
Flight operations officer,12
Education social worker,12
Conductor (musical),12
Foreman - road transport,12
Air traffic control assistant,12
Trainee biological scientist,12
Setter operator - metal work,12
Geological scientist NOS,12
Compositor,12
Trainee medical technician,12
Electronics physicist,12
Repetitive assembler - plastic,12
Anthropologist,12
Registered midwife,12
Recreation manager NOS,12
Foremen - farming/horticulture,12
Roundsman NOS,12
Block printer,12
Foreman electrical mechanic,12
Stockman - mixed livestock,12
Genetic counsellor,12
Supervisor: office machine NOS,12
Podiatry assistant,12
Vascular surgeon,12
Civil engineer - trainee,12
Television fitter,12
Animal health occupations (& [vets - vete,13
Flight planner,13
Meat inspector,13
Orthotist,13
Vocational guidance specialist,13
(Civ eng equip worker) or (driv:[heavy pl,13
Foot care worker,13
Telephone &/or radio/mail supervisor,13
Paediatric nephrologist,13
Oncology nurse,13
Teacher training principal,13
Area of occupational therapist,13
Coastguard,13
Electricity power plant operator,13
Medical microbiologist,13
Bookbinders/paper workers,13
Diabetes key contact,13
Student laboratory technician - RAF,13
Soldier - home service force,13
Trainee - animal health,13
Sound mixer,13
Moulders - metal,13
Body builder - vehicle,13
Training service inspector,13
Musician - RAF,13
Glass shaper/former - hand,13
Haematologist,13
Grinder - metal,13
Urologist,13
Driver - farm machine,14
Box maker,14
Member of parliament,14
Chemical engineer manager,14
Gastroenterologist,14
Metal production fitter NOS,14
Nursing officer - region,14
Special constable,14
Trainee radiographer,14
Station manager,14
Human aid to communication,14
Aero-engine mechanic,14
Bingo hall manager,14
Statutory inspector,14
Literary agent,14
Clinical nurse teacher,14
Statutory inspector NOS,14
Stevedore,14
Electroplater,14
Embalmer,14
Medical practitioner grade,14
Cowman,14
Community learning disabilities nurse,14
Protective supervisors NOS,14
Senior fire officer,14
Test engineer - elect.eng.,14
Shorthand secretary,14
Sewage plant attendant,14
Door-to-door canvasser,14
Dental auxiliary,14
Higher professionals,14
Foreman - agriculture,14
Mason - walling,14
Foreman - gardeners/groundsmen,14
Telecommun technician - Royal Electric &,14
Pre-primary head teacher,15
Professional runner,15
Test engineer - mech.eng.,15
Occupational health nursing officer,15
Aeronautical engineer - general,15
Storing occupations,15
Surveyor trainee,15
Foreman - other plant work,15
Steeplejack,15
Foreman - other processors,15
Banqueting manager,15
Steward - seagoing,15
Estimator manager,15
Consultant Urologist,15
Coroner,15
Farming/fishing manager NOS,15
Checker (goods) clerk,15
Hand embroiderer,15
Fitter - metal pipe/sheet,15
Chemical engineer - research/development,15
First aid attendant,15
Chemical engineer NOS,15
Supervisor:cash handling clerk,15
Launderer,15
Interpreter for Signs supporting English,15
Botanist,15
Interpreter &/or: [translator] or [langua,15
Presser - garments,15
Chimney sweep,15
Leather worker,15
Test engineer NOS,15
Metalworking-machine operator,15
Railway lengthman,15
