100570 (100.0)	20170 (20.1)	20202 (20.1)	20266 (20.2)	20041 (19.9)
0 (0.0)	0 (  .)	0 (  .)	0 (  .)	0 (  .)



657 (0.7)	126 (19.2)	125 (19.0)	121 (18.4)	125 (19.0)
99913 (99.3)	20044 (20.1)	20077 (20.1)	20145 (20.2)	19916 (19.9)

49 (0.0)	15 (30.6)	8 (16.3)	10 (20.4)	4 (8.2)
100521 (100.0)	20155 (20.1)	20194 (20.1)	20256 (20.2)	20037 (19.9)

22271 (22.1)	4362 (19.6)	4486 (20.1)	4438 (19.9)	4500 (20.2)
78299 (77.9)	15808 (20.2)	15716 (20.1)	15828 (20.2)	15541 (19.8)

27878 (27.7)	5582 (20.0)	5639 (20.2)	5624 (20.2)	5584 (20.0)
72692 (72.3)	14588 (20.1)	14563 (20.0)	14642 (20.1)	14457 (19.9)

20274 (20.2)	4089 (20.2)	4046 (20.0)	3960 (19.5)	4043 (19.9)
80296 (79.8)	16081 (20.0)	16156 (20.1)	16306 (20.3)	15998 (19.9)

20033 (19.9)	4028 (20.1)	4083 (20.4)	3982 (19.9)	3977 (19.9)
80537 (80.1)	16142 (20.0)	16119 (20.0)	16284 (20.2)	16064 (19.9)

10061 (10.0)	1974 (19.6)	2020 (20.1)	1977 (19.7)	2050 (20.4)
90509 (90.0)	18196 (20.1)	18182 (20.1)	18289 (20.2)	17991 (19.9)

10427 (10.4)	2060 (19.8)	2090 (20.0)	2053 (19.7)	2126 (20.4)
90143 (89.6)	18110 (20.1)	18112 (20.1)	18213 (20.2)	17915 (19.9)

279 (0.3)	47 (16.8)	55 (19.7)	50 (17.9)	59 (21.1)
100291 (99.7)	20123 (20.1)	20147 (20.1)	20216 (20.2)	19982 (19.9)

5014 (5.0)	1029 (20.5)	1002 (20.0)	980 (19.5)	976 (19.5)
95556 (95.0)	19141 (20.0)	19200 (20.1)	19286 (20.2)	19065 (20.0)

5046 (5.0)	1001 (19.8)	1019 (20.2)	1079 (21.4)	976 (19.3)
95524 (95.0)	19169 (20.1)	19183 (20.1)	19187 (20.1)	19065 (20.0)

10040 (10.0)	1975 (19.7)	2022 (20.1)	2033 (20.2)	2018 (20.1)
90530 (90.0)	18195 (20.1)	18180 (20.1)	18233 (20.1)	18023 (19.9)

651 (0.6)	130 (20.0)	127 (19.5)	105 (16.1)	133 (20.4)
99919 (99.4)	20040 (20.1)	20075 (20.1)	20161 (20.2)	19908 (19.9)

