CTV3ID,CTV3PreferredTermDesc
D402.,(Anomaly: [genet leucocyt][epon vars]) or (Ched-Higash synd)
F14y0,Ataxia telangiectasia
M15y3,Complement 5 dysfunction
X20CO,Pancytopenia with pancreatitis
X20Da,Congenital agranulocytosis NEC
X20Db,X-linked hypogammaglobulinaemia
X20De,Chronic idiopathic neutropenia
X20Df,Severe congenital neutropenia
X20Dk,Myelokathexis
X20Dl,Metabolic neutropenia
X20Dn,Autoimmune neutropenia
X20Dv,Chediak-Higashi syndrome
X20Dw,Hyperimmunoglobulin E syndrome
X20Dx,CR3-receptor deficiency
X20Dy,Specific granule deficiency
X20E0,Chronic granulomatous disease
X20E1,Myeloperoxidase deficiency
X20E4,Hereditary hypersegmentation
X20Ga,Primary immunodeficiency
X20Gb,Agammaglobulinaemia
X20Gc,X-linked agammaglobulinaemia
X20Gd,X-linked agammaglobulinaemia with growth hormone deficiency
X20Ge,Autosomal agammaglobulinaemia with absent B-cells
X20Gf,Selective immunoglobulin dysfunction
X20Gg,X-linked hyperimmunoglobulin M syndrome
X20Gh,Autosomal recessive hyperimmunoglobulin M syndrome
X20Gj,Hyperimmunoglobulin D with periodic fever
X20Gk,Immunoglobulin heavy chain deficiency
X20Gn,Selective immunoglobulin M and immunoglobulin A deficiency
X20Go,Immunoglobulin light chain deficiency
X20Gp,Kappa light chain deficiency
X20Gq,Lambda light chain deficiency
X20Gr,Immunoglobulin subclass deficiency
X20Gt,Immunoglobulin G2 deficiency
X20Gu,Combined immunoglobulin G2 and G4 deficiency
X20Gv,Immunoglobulin G3 deficiency
X20Gw,Immunoglobulin G4 deficiency
X20Gx,Immunoglobulin G1 deficiency
X20Gy,Immunoglobulin A1 deficiency
X20Gz,Immunoglobulin A2 deficiency
X20H0,Immunoglobulin-associated molecule deficiency
X20H1,Secretory piece deficiency
X20H2,Defective immunoglobulin glycosylation
X20Ha,Schwachman's syndrome
X20Hb,Defective phagocytic cell adhesion
X20Hc,Leucocyte adhesion deficiency - type 1
X20Hd,Leucocyte adhesion deficiency - type 2
X20Hf,Tuftsin deficiency
X20HF,Chronic mucocutaneous candidiasis
X20Hg,Defective phagocytic cell killing
X20HH,Combined immunodeficiency with maturation pathway defect
X20HI,Reticular dysgenesis
X20Hi,Leucocyte glucose-6-phosphate dehydrogenase deficiency
X20HJ,X-linked severe combined immunodeficiency
X20HK,Severe combined immunodeficiency with short-limbed dwarfism
X20Hk,Neutrophil lactoferrin deficiency
X20HL,Bare lymphocyte syndrome
X20Hl,Neutrophil secondary granule deficiency
X20HM,Familial erythrophagocytic lymphohistiocytosis
X20Hm,Gluthathione synthetase deficiency
X20HN,Severe comb immunodeficiency with maternofetal engraftment
X20Hn,Gluthathione peroxidase deficiency
X20HO,"Warts, hypogammaglobulinaemia, infections, and myelokathexis"
X20Hp,Combined phagocytic defect
X20Ht,Classical complement pathway abnormality
X20HU,Chronic familial neutropaenia
X20Hu,Complement 1q deficiency
X20HV,Lipochrome histiocytosis - familial
X20Hv,Complement 1q beta chain deficiency
X20HW,Defective phagocytic cell opsonisation
X20Hw,Complement 1q dysfunction
X20HX,Mannan-binding protein deficiency
X20Hx,Complement 1r deficiency
X20HY,Defective phagocytic cell chemotaxis
X20Hy,Complement 1s deficiency
X20HZ,Lazy leucocyte syndrome
X20Hz,Complement 2 deficiency
X20I0,Complement 4 deficiency
X20I1,Complement 4A deficiency
X20I2,Complement 4B deficiency
X20I3,Complement 3 deficiency
X20I4,Alternative pathway deficiency
X20I5,Properdin deficiency
X20I6,Factor B deficiency
X20I7,Factor D deficiency
X20I8,Terminal component deficiency
X20I9,Complement 5 deficiency
X20Ia,Chromosome 18 syndromes and antibody deficiency
X20IB,Complement 6 deficiency
X20Ib,Chromosome 22 abnormalities with hypogammaglobulinaemia
X20IC,Complement 7 deficiency
X20Ic,Monosomy 22 and absence of immunoglobulin A
X20ID,Combined complement 6 and 7 deficiencies
X20Id,Deletion of X-chromosome and hypogammaglobulinaemia
X20IE,Complement 8 beta chain deficiency
X20Ie,"Microcephaly, normal intelligence and immunodeficiency"
X20IF,Complement 8 beta chain dysfunction
X20If,"Triple X syndrome, epilepsy, and hypogammaglobulinaemia"
X20IG,Complement 8 alpha-gamma deficiency
X20Ig,18-p syndrome with associated immunodeficiency
X20IH,Complement 9 deficiency
X20Ih,Immunodeficiency with multiple organ system abnormalities
X20II,Complement regulatory factor defect
X20IJ,Hereditary C1 esterase inhibitor defic - deficient factor
X20Ij,Partial albinism with immunodeficiency
X20IK,Hereditary C1 esterase inhib defic - dysfunctional factor
X20Ik,X-linked lymphoproliferative syndrome
X20IL,Factor I deficiency
X20IM,Factor H deficiency
X20IN,Complement 4 binding protein deficiency
X20IO,Decay accelerating factor deficiency
X20IP,Homologous restriction factor deficiency
X20IQ,Complement 5a inhibitor deficiency
X20IR,Anaphylotoxin inactivator deficiency
X20IS,Complement receptor deficiency
X20IT,Complement receptor 1 deficiency
X20IU,Complement receptor 3 deficiency
X20IV,Immunodeficiency with major anomalies
X20IW,Immunodeficiency associated with chromosomal abnormality
X20IY,Bloom syndrome
X20IZ,"Centromeric instability of chromosomes 1,9+16 + immunodefic"
X20RX,Familial chronic mucocutaneous candidiasis
X40Ua,Adenosine deaminase deficiency
X40Uc,Purine nucleoside phosphorylase deficiency
X70Qz,Familial chronic mucocutaneous candidiasis - late onset type
X70R0,Chronic localised mucocutaneous candidiasis
X70R1,Chronic diffuse mucocutaneous candidiasis
X789w,Immuno-osseous dysplasia
Xa9Az,Phagocytic cell dysfunction
XaA0r,"Metaphys chondrodysplas, McKusick type with assoc immunodef"
XE11v,Congenital hypogammaglobulinaemia
XE13a,Agammaglobulinaemia &/or hypo-gammaglobulinaemia
XE14B,Chronic idiopathic neutropaenia
XE14F,Congenital neutropenia
XE14H,Functional disorders of polymorphonuclear neutrophils
8C31.,Transplant immunosuppression
PK281,Congenital absence of thymus
